
"country \ indicator","BMI adults % moderate and severe thinness (<=17)","BMI adults % normal (18.5-24.99)","BMI adults % obese (>=30.0)","BMI adults % overweight (>=25.0)","BMI adults % pre-obese (25.0-29.99)","BMI adults % underweight (<18.5)","BMI females % moderate and severe thinness (<=17)","BMI females % normal (18.5-24.99)","BMI females % obese (>=30.0)","BMI females % overweight (>=25.0)","BMI females % pre-obese (25.0-29.99)","BMI females % underweight (<18.5)","BMI males % moderate and severe thinness (<=17)","BMI males % normal (18.5-24.99)","BMI males % obese (>=30.0)","BMI males % overweight (>=25.0)","BMI males % pre-obese (25.0-29.99)","BMI males % underweight (<18.5)","DES Cereals (calories/day)","DES Fruits, Vegetables, Pulses, Nuts (calories/day)","DES Meat, Fish, Milk, Eggs (calories/day)","DES Oils, Fats, Sugars (calories/day)","DES Other  (calories/day)","DES Roots, Tubers (calories/day)","DES Total (calories/day)","Population Females (1000)","Population Males (1000)","Population Total (1000)"
"Guam","","","","","","","","","","","","","","","","","","","","","","","","","","77","84","160"
"Guatemala","","","","","","","0.8","61.8","12.2","44.0","27","2.0","","","","","","","1,142","207","181","635","27","8","2,203","5,971","6,065","12,036"
"Guinea","","","","","","","3.3","72.5","3.0","14.3","11","13.2","","","","","","","1,049","330","83","507","4","386","2,362","4,152","4,207","8,359"
"Guinea-Bissau","","","","","","","","","","","","","","","","","","","1,517","145","150","412","35","220","2,481","734","715","1,449"
"Guyana","","","","","","","","","","","","","","","","","","","1,174","184","378","532","120","120","2,515","393","371","764"
"Haiti","","","","","","","5.3","63.3","6.3","21.2","15","15.5","","","","","","","960","233","131","473","84","163","2,045","4,164","4,053","8,218"
"Honduras","","","","","","","1.0","49.3","18.8","46.6","28","4.0","","","","","","","1,113","231","312","687","45","12","2,406","3,365","3,416","6,781"
"Hong-Kong","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","","44.8","17.7","53.2","35.5","2.0","","47.5","18.2","49.4","31","3.0","","40.7","17.1","58.9","41.8","0.4","943","205","681","1,321","243","124","3,520","5,193","4,730","9,923"
"Iceland","","49.4","12.4","48.2","35.9","2.3","","56.7","12.3","40.3","28","3.0","","41.4","12.4","57.0","44.6","1.6","734","159","1,163","878","192","82","3,231","143","144","287"
"India","","62.5","0.7","4.5","3.8","32.9","15.8","51.8","2.8","12.6","10","35.6","13.6","56.6","1.3","9.7","8.4","33.7","1,487","204","143","567","29","47","2,487","508,544","541,005","1,049,549"
"Indonesia","","","2.4","13.4","","","","","3.6","17.3","","","","","1.1","8.4","","","1,830","89","112","673","12","187","2,904","108,585","108,546","217,131"
"Indonesia 1960-1962","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Iran (Islamic Republic of)","","51.5","14.2","42.8","28.6","5.7","","46.1","19.2","48.5","32","5.2","","50.8","9.1","37.0","31.7","6.3","1,721","371","236","514","4","83","2,931","33,548","34,522","68,070"
"Iraq","","","","","","","","","38.2","69.6","","","","","26.2","63.6","","","1,418","178","76","512","5","12","2,210","12,075","12,435","24,510"
"Ireland","","42.4","13.0","56.8","32.7","0.8","","57.0","17.0","71.0","24","1.0","","41.0","31.0","80.0","41.0","2.0","962","195","938","981","387","203","3,666","1,966","1,944","3,911"
"Israel","","","22.9","61.9","39.3","","","","25.4","58.5","","","","","19.8","65.5","","","1,163","420","613","1,171","62","76","3,512","3,191","3,113","6,304"
"Italy","","52.6","9.8","44.0","34.2","3.4","","58.6","9.1","35.7","27","5.8","","46.2","10.5","53.0","42.5","0.9","1,165","369","770","1,138","163","70","3,680","29,607","27,876","57,482"
"Jamaica","","","","","","","","","","","","","","","","","","","899","244","354","938","82","185","2,705","1,331","1,296","2,627"
"Japan","","68.9","3.1","23.2","20.3","11.5","","68.2","3.3","19.9","18","10.4","","67.0","2.9","27.3","23.9","6.0","1,073","159","519","744","175","71","2,746","65,136","62,342","127,478"
"Jordan","","43.0","19.5","57.0","36.0","3.0","1.2","48.6","20.1","47.5","27","3.9","","","10.3","","","","1,383","193","300","843","16","34","2,769","2,554","2,775","5,329"
"Jordan 1960-1966","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kazakhstan","","","","","","","1.8","53.7","12.7","32.6","22","7.4","","","","","","","1,094","80","642","455","62","143","2,477","8,037","7,432","15,469"
"Kenya","","","","","","","4.0","64.3","6.3","23.4","17","12.3","","","","","","","1,035","191","243","399","26","155","2,058","15,938","15,603","31,540"
"Kiribati","","18.0","50.6","81.5","30.9","0.5","","14.8","58.9","84.6","26","0.6","","21.6","41.7","78.2","36.5","0.3","923","152","341","1,226","21","251","2,922","42","45","87"
"Kuwait","","33.3","28.8","64.2","35.4","2.5","","35.0","29.9","62.7","33","2.3","","31.5","27.5","65.8","38.3","2.7","1,186","335","633","856","75","60","3,170","970","1,473","2,443"
"Kyrgyzstan","","61.2","8.7","35.0","26.3","3.7","1.7","57.8","8.6","27.8","26","6.9","","65.3","4.8","31.5","26.7","3.2","1,666","116","549","216","32","302","2,882","2,582","2,485","5,067"
"Lao People's Democratic Republic","","77.1","1.2","8.5","8.2","13.5","","73.7","1.6","10.8","10","14.8","","81.1","0.7","5.9","6.1","12.1","1,703","129","156","118","96","80","2,309","2,766","2,763","5,529"
"Latvia","","51.3","15.6","45.2","29.6","3.5","","49.1","18.1","45.6","28","5.3","","54.1","12.3","44.6","32.3","1.2","866","143","571","836","205","182","2,809","1,261","1,069","2,329"
"Lebanon","","","13.5","","45.0","","","","","","","","","","","","","","1,077","569","394","931","95","108","3,184","1,835","1,761","3,596"
"Lesotho","","","","36.6","21.3","","1.8","52.0","16.1","42.3","26","5.7","","","","18.8","","","1,822","87","92","204","33","78","2,320","963","837","1,800"
"Liberia","","","","","","","2.3","69.4","5.7","20.5","15","10.0","","","","","","","758","129","60","422","49","513","1,946","1,621","1,618","3,239"
"Libyan Arab Jamahiriya","","","","","","","","","","","","","","","","","","","1,532","331","344","1,035","10","66","3,333","2,631","2,813","5,445"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","","","","17","16","33"
"Lithuania","","48.6","19.7","52.0","32.2","2.4","","50.7","19.2","49.0","30","3.0","","45.7","20.6","56.0","35.7","1.6","1,301","172","653","830","184","240","3,384","1,848","1,617","3,465"
"Luxembourg","","","9.0","35.0","","","","","","","","","","","","","","","","","","","","","","227","220","447"
"Macao","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Madagascar","","69.1","2.1","","9.6","19.2","5.8","73.6","1.0","7.1","6","19.2","","","","","","","1,112","120","184","159","24","470","2,072","8,502","8,415","16,916"
"Malawi","","","","","","","","77.1","2.4","13.7","11","9.2","","","","","","","1,276","187","53","243","20","388","2,168","6,016","5,855","11,871"
"Malaysia","","49.3","16.3","47.9","31.6","9.6","4.1","46.4","18.8","51.2","32","10.0","3.2","52.1","13.9","44.8","30.9","9.2","1,285","138","505","893","36","59","2,927","11,797","12,168","23,965"
"Malaysia 1963-1964","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Maldives","","","","","","","","","","","","","","","","","","","1,025","254","625","532","58","83","2,587","150","159","309"
"Mali","","","","","","","4.0","68.9","5.2","17.6","12","13.5","","","","","","","1,714","152","198","274","9","28","2,376","6,367","6,255","12,623"
"Malta","","35.1","20.7","62.3","41.6","2.6","","43.0","19.3","53.2","34","3.8","","26.8","22.2","71.9","49.7","1.3","1,328","241","703","942","130","143","3,496","198","195","393"
"Marshall Islands","","","","","","","","","","","","","","","","","","","","","","","","","","25","27","52"
"Martinique","","","","","","","","","5.0","20.0","","","","","6.0","24.5","","","","","","","","","","204","186","390"
"Mauritania","","","","","","","4.6","47.9","16.7","38.4","21","13.0","","","","","","","1,398","149","408","792","4","13","2,764","1,421","1,386","2,807"
"Mauritius","","","14.4","35.7","25.4","","","","19.8","39.4","26","","","","7.5","30.7","25.1","","1,371","209","395","882","85","40","2,995","608","601","1,210"
"Mexico","","","23.6","","","","","26.7","34.5","71.9","37","1.4","","31.7","24.2","66.7","42.5","1.5","1,462","287","537","765","77","31","3,160","51,892","50,074","101,965"
"Micronesia (Federated States of)","","","","","","","","","","","","","","","","","","","","","","","","","","54","55","108"
"Moldova, Republic of","","","","","","","1.4","52.6","18.2","41.5","23","5.9","","","","","","","1,376","168","375","448","225","120","2,712","2,228","2,043","4,270"
"Monaco","","","","","","","","","","","","","","","","","","","","","","","","","","17","17","34"
"Mongolia","","66.6","9.8","31.6","21.8","4.9","2.1","64.5","12.5","38.0","26","3.9","0.0","69.7","7.2","25.4","18.2","5.9","841","34","733","279","40","45","1,974","1,278","1,281","2,559"
"Montserrat","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","3"
"Morocco","","59.4","16.0","35.4","","5.3","1.8","56.1","11.0","36.6","26","7.3","","68.9","8.2","25.4","","5.7","1,919","216","169","658","22","60","3,046","15,015","15,057","30,072"
"Mozambique","","","","","","","1.9","77.3","3.9","14.1","10","8.6","","","","","","","803","117","43","344","24","647","1,980","9,618","8,919","18,537"
"Myanmar","","","","","","","","","","","","","","","","","","","2,022","232","116","421","12","18","2,822","24,614","24,239","48,852"
"Namibia","","","","","","","5.7","56.0","11.7","28.0","16","15.9","","","","","","","1,470","92","371","407","55","320","2,745","1,003","959","1,961"
"Nauru","","","78.5","","","","","","77.9","","","","","","79.3","","","","","","","","","","","6","7","13"
"Nepal","","","","","","","8.0","67.0","0.9","8.6","8","24.4","","","","","","","1,796","144","133","216","49","85","2,459","12,042","12,567","24,609"
"Netherlands","","","10.0","41.8","29.0","","","","9.5","34.6","26","","","","7.2","40.8","35.8","","602","258","999","1,025","239","160","3,282","8,098","7,969","16,067"
"Netherlands Antilles","","","","","","","","","","","","","","","","","","","919","118","635","595","187","77","2,565","113","106","219"
"New Caledonia","","","","","","","","","","70.6","","","","","","","","","974","142","588","745","138","150","2,770","109","115","224"
"New Zealand","","36.1","26.5","62.7","36.2","1.3","","43.0","26.0","55.4","29","1.6","","33.2","24.7","65.4","40.7","1.3","720","318","865","1,045","148","139","3,235","1,949","1,897","3,846"
"Nicaragua","","","","","","","","44.5","19.6","62.0","32","3.7","","","","","","","1,130","314","153","586","38","29","2,256","2,680","2,655","5,335"
"Niger","","","","","","","5.8","67.9","3.2","12.9","10","19.2","","","","","","","1,519","211","98","245","7","36","2,118","5,719","5,825","11,544"
"Nigeria","","","","","","","5.9","64.3","5.8","20.5","15","15.2","","","","","","","1,213","241","87","542","91","572","2,747","60,042","60,870","120,911"
"Nigeria 1960-1961","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Niue","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2"
"North Borneo","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Mariana Islands","","","","","","","","","","","","","","","","","","","","","","","","","","37","40","76"
"Norway","3.0","51.0","10.0","44.0","35.0","5.0","4.0","58.0","8.0","35.0","27","7.0","1.0","44.0","11.0","54.0","43.0","2.0","986","190","894","1,012","163","130","3,382","2,278","2,236","4,514"
"Oman","","","","","","","","","23.8","51.1","27","","","","16.7","48.8","32.1","","","","","","","","","1,173","1,596","2,768"
"Pakistan","","54.4","3.4","14.4","11.0","31.2","15.4","50.8","5.2","17.5","12","31.6","13.2","58.0","1.6","11.3","9.7","30.8","1,248","135","345","647","13","25","2,457","73,130","76,781","149,911"
"Palau","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","20"
"Panama","","31.5","34.7","67.4","32.7","1.0","","29.7","36.0","69.5","33","0.8","","35.9","31.7","62.6","30.9","1.5","880","180","420","746","99","50","2,386","1,517","1,546","3,064"
"Papua New Guinea","","","","","","","","","","","","","","","","","","","652","406","187","364","26","556","2,193","2,704","2,882","5,586"
"Paraguay","","","","","","","","","","","","","","","","","","","678","187","481","747","121","358","2,576","2,848","2,892","5,740"
"People's Democratic Republic of Yemen","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Peru","","","16.3","55.4","39.1","","0.3","54.6","12.5","43.4","31","1.9","","","11.5","52.0","40.5","","1,055","250","236","661","69","338","2,610","13,305","13,462","26,767"
"Philippines","","63.7","4.3","24.0","19.7","12.3","","58.5","5.7","27.3","22","14.2","","68.5","3.0","20.9","17.9","10.6","1,265","194","302","461","61","86","2,372","39,014","39,566","78,580"
"Poland","","45.6","18.0","52.2","34.2","2.2","","48.2","19.9","48.6","29","3.2","","42.3","15.7","56.7","41.0","1.0","1,189","174","648","996","146","243","3,397","19,873","18,749","38,622"
"Portugal","","44.2","14.2","53.5","39.4","2.2","","48.9","13.4","47.8","34","3.4","","38.9","15.0","60.2","45.2","0.9","1,030","351","858","963","313","223","3,751","5,215","4,833","10,049"
"Puerto Rico","","","","","","","","","","","","","","","","","","","","","","","","","","2,008","1,851","3,859"
